	Startdatum	Startort	Strasse	Zielort	Strasse	Startkilometer	Endkilometer	Strecke	Priv/Business	Person/Firma	Zweck	Ankunftsdatum			
6	29.10.2011	Oberursel	Tannenweg			105831	105831					29.10.2011	6		
1	31.10.2011	0	0	Frankfurt	Kirchnerstrasse	105831	105856	25	Business	ECSM Kunde	Deutsche Bank Projekt	31.10.2011	1		
1	31.10.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	105856	105880	24	Rückfahrt	Rückfahrt	Rückfahrt	31.10.2011	1		
2	01.11.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	105880	105905	25	Business	ECSM Kunde	Deutsche Bank Projekt	01.11.2011	2		
2	01.11.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	105905	105929	24	Rückfahrt	Rückfahrt	Rückfahrt	01.11.2011	2		
3	02.11.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	105929	105954	25	Business	ECSM Kunde	Deutsche Bank Projekt	02.11.2011	3		
3	02.11.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	105954	105978	24	Rückfahrt	Rückfahrt	Rückfahrt	02.11.2011	3		
4	03.11.2011	Oberursel	Tannenweg	Frankfurt	Parken Poststrasse	105978	106001	23	Business	ECSM Kunde	Deutsche Bank Projekt	03.11.2011	4		
4	03.11.2011	Frankfurt	Parken Poststrasse	Oberursel	Tannenweg	106001	106024	23	Rückfahrt	Rückfahrt	Rückfahrt	03.11.2011	4		
5	04.11.2011	Oberursel	Tannenweg	Frankfurt	Parkhaus Goetheplatz	106024	106048	24	Business	ECSM Kunde	Deutsche Bank Projekt	04.11.2011	5		
5	04.11.2011	Frankfurt	Parkhaus Goetheplatz	Oberursel	Tannenweg	106048	106072	24	Rückfahrt	Rückfahrt	Rückfahrt	04.11.2011	5		
6	05.11.2011	Oberursel	Tannenweg	Oberursel	Tannenweg	106072	106081	9	Privat			05.11.2011	6		
1	07.11.2011	Oberursel	Tannenweg	Frankfurt	Parkhaus Goetheplatz	106081	106105	24	Business	ECSM Kunde	Deutsche Bank Projekt	07.11.2011	1		
1	07.11.2011	Frankfurt	Parkhaus Goetheplatz	Oberursel	Tannenweg	106105	106129	24	Rückfahrt	Rückfahrt	Rückfahrt	07.11.2011	1		
2	08.11.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	106129	106154	25	Business	ECSM Kunde	Deutsche Bank Projekt	08.11.2011	2		
2	08.11.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	106154	106178	24	Rückfahrt	Rückfahrt	Rückfahrt	08.11.2011	2		
3	09.11.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	106178	106203	25	Business	ECSM Kunde	Deutsche Bank Projekt	09.11.2011	3		
3	09.11.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	106203	106227	24	Rückfahrt	Rückfahrt	Rückfahrt	09.11.2011	3		
4	10.11.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	106227	106252	25	Business	ECSM Kunde	Deutsche Bank Projekt	10.11.2011	4		
4	10.11.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	106252	106276	24	Rückfahrt	Rückfahrt	Rückfahrt	10.11.2011	4		
5	11.11.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	106276	106301	25	Business	ECSM Kunde	Deutsche Bank Projekt	11.11.2011	5		
5	11.11.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	106301	106325	24	Rückfahrt	Rückfahrt	Rückfahrt	11.11.2011	5		
1	14.11.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	106325	106350	25	Business	ECSM Kunde	Deutsche Bank Projekt	14.11.2011	1		
1	14.11.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	106350	106374	24	Rückfahrt	Rückfahrt	Rückfahrt	14.11.2011	1		
2	15.11.2011	Oberursel	Tannenweg	Frankfurt	Parkhaus Goetheplatz	106374	106398	24	Business	ECSM Kunde	Deutsche Bank Projekt	15.11.2011	2		
2	15.11.2011	Frankfurt	Parkhaus Goetheplatz	Oberursel	Tannenweg	106398	106422	24	Rückfahrt	Rückfahrt	Rückfahrt	15.11.2011	2		
3	16.11.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	106422	106447	25	Business	ECSM Kunde	Deutsche Bank Projekt	16.11.2011	3		
3	16.11.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	106447	106471	24	Rückfahrt	Rückfahrt	Rückfahrt	16.11.2011	3		
4	17.11.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	106471	106496	25	Business	ECSM Kunde	Deutsche Bank Projekt	17.11.2011	4		
4	17.11.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	106496	106520	24	Rückfahrt	Rückfahrt	Rückfahrt	17.11.2011	4		
5	18.11.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	106520	106545	25	Business	ECSM Kunde	Deutsche Bank Projekt	18.11.2011	5		
5	18.11.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	106545	106569	24	Rückfahrt	Rückfahrt	Rückfahrt	18.11.2011	5		
7	20.11.2011	Oberursel	Tannenweg	Oberursel	Tannenweg	106569	106591	22	Privat			20.11.2011	7		
1	21.11.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	106591	106616	25	Business	ECSM Kunde	Deutsche Bank Projekt	21.11.2011	1		
1	21.11.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	106616	106640	24	Rückfahrt	Rückfahrt	Rückfahrt	21.11.2011	1		
2	22.11.2011	Oberursel	Tannenweg	Oberursel	Hohemarkstraße 	106640	106642	2	Business	Reifenservice	Reifenwechsel	22.11.2011	2		
2	22.11.2011	Oberursel	Hohemarkstraße 	Oberursel	Tannenweg	106642	106644	2	Business	Rückfahrt	Rückfahrt	22.11.2011	2		
3	23.11.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	106644	106669	25	Business	ECSM Kunde	Deutsche Bank Projekt	23.11.2011	3		
3	23.11.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	106669	106693	24	Rückfahrt	Rückfahrt	Rückfahrt	23.11.2011	3		
4	24.11.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	106693	106718	25	Business	ECSM Kunde	Deutsche Bank Projekt	24.11.2011	4		
4	24.11.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	106718	106742	24	Rückfahrt	Rückfahrt	Rückfahrt	24.11.2011	4		
5	25.11.2011	Oberursel	Tannenweg	Frankfurt	Parkhaus Goetheplatz	106742	106766	24	Business	ECSM Kunde	Deutsche Bank Projekt	25.11.2011	5		
5	25.11.2011	Frankfurt	Parkhaus Goetheplatz	Oberursel	Tannenweg	106766	106790	24	Rückfahrt	Rückfahrt	Rückfahrt	25.11.2011	5		
6	26.11.2011	Oberursel	Tannenweg	Oberursel	Tannenweg	106790	106798	8	Privat			26.11.2011	6		
1	28.11.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	106798	106823	25	Business	ECSM Kunde	Deutsche Bank Projekt	28.11.2011	1		
1	28.11.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	106823	106847	24	Rückfahrt	Rückfahrt	Rückfahrt	28.11.2011	1		
2	29.11.2011	Oberursel	Tannenweg	Frankfurt	Parkhaus Goetheplatz	106847	106871	24	Business	ECSM Kunde	Deutsche Bank Projekt	29.11.2011	2		
2	29.11.2011	Frankfurt	Parkhaus Goetheplatz	Oberursel	Tannenweg	106871	106895	24	Rückfahrt	Rückfahrt	Rückfahrt	29.11.2011	2		
3	30.11.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	106895	106920	25	Business	ECSM Kunde	Deutsche Bank Projekt	30.11.2011	3		
3	30.11.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	106920	106944	24	Rückfahrt	Rückfahrt	Rückfahrt	30.11.2011	3		
4	01.12.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	106944	106969	25	Business	ECSM Kunde	Deutsche Bank Projekt	01.12.2011	4		
4	01.12.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	106969	106993	24	Rückfahrt	Rückfahrt	Rückfahrt	01.12.2011	4		
5	02.12.2011	Oberursel	Tannenweg	Frankfurt	Parkhaus Goetheplatz	106993	107017	24	Business	ECSM Kunde	Deutsche Bank Projekt	02.12.2011	5		
5	02.12.2011	Frankfurt	Parkhaus Goetheplatz	Oberursel	Tannenweg	107017	107041	24	Rückfahrt	Rückfahrt	Rückfahrt	02.12.2011	5		
1	05.12.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	107041	107065	24	Business	ECSM Kunde	Deutsche Bank Projekt	05.12.2011	1		
1	05.12.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	107065	107089	24	Rückfahrt	Rückfahrt	Rückfahrt	05.12.2011	1		
2	06.12.2011	Oberursel	Tannenweg	Frankfurt	Parkhaus Goetheplatz	107089	107113	24	Business	ECSM Kunde	Deutsche Bank Projekt	06.12.2011	2		
2	06.12.2011	Frankfurt	Parkhaus Goetheplatz	Oberursel	Tannenweg	107113	107137	24	Rückfahrt	Rückfahrt	Rückfahrt	06.12.2011	2		
3	07.12.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	107137	107161	24	Business	ECSM Kunde	Deutsche Bank Projekt	07.12.2011	3		
3	07.12.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	107161	107185	24	Rückfahrt	Rückfahrt	Rückfahrt	07.12.2011	3		
4	08.12.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	107185	107209	24	Business	ECSM Kunde	Deutsche Bank Projekt	08.12.2011	4		
4	08.12.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	107209	107233	24	Rückfahrt	Rückfahrt	Rückfahrt	08.12.2011	4		
5	09.12.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	107233	107257	24	Business	ECSM Kunde	Deutsche Bank Projekt	09.12.2011	5		
5	09.12.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	107257	107281	24	Rückfahrt	Rückfahrt	Rückfahrt	09.12.2011	5		
6	10.12.2011	Oberursel	Tannenweg	Oberursel	Tannenweg	107281	107372	91	Privat			10.12.2011	6		
1	12.12.2011	Oberursel	Tannenweg	Frankfurt	Parkhaus Goetheplatz	107372	107396	24	Business	ECSM Kunde	Deutsche Bank Projekt	12.12.2011	1		
1	12.12.2011	Frankfurt	Parkhaus Goetheplatz	Oberursel	Tannenweg	107396	107420	24	Rückfahrt	Rückfahrt	Rückfahrt	12.12.2011	1		
2	13.12.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	107420	107444	24	Business	ECSM Kunde	Deutsche Bank Projekt	13.12.2011	2		
2	13.12.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	107444	107468	24	Rückfahrt	Rückfahrt	Rückfahrt	13.12.2011	2		
3	14.12.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	107468	107492	24	Business	ECSM Kunde	Deutsche Bank Projekt	14.12.2011	3		
3	14.12.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	107492	107516	24	Rückfahrt	Rückfahrt	Rückfahrt	14.12.2011	3		
4	15.12.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	107516	107540	24	Business	ECSM Kunde	Deutsche Bank Projekt	15.12.2011	4		
4	15.12.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	107540	107564	24	Rückfahrt	Rückfahrt	Rückfahrt	15.12.2011	4		
5	16.12.2011	Oberursel	Tannenweg	Frankfurt	Parkhaus Goetheplatz	107564	107588	24	Business	ECSM Kunde	Deutsche Bank Projekt	16.12.2011	5		
5	16.12.2011	Frankfurt	Parkhaus Goetheplatz	Oberursel	Tannenweg	107588	107612	24	Rückfahrt	Rückfahrt	Rückfahrt	16.12.2011	5		
5	16.12.2011	Oberursel	Tannenweg	Dlha nad Vahom	Dlha nad Vahom	107612	108631	1019	Business	ECSM	Auftraggeber End of Year Event	16.12.2011	5		
2	20.12.2011	Dlha nad Vahom	Dlha nad Vahom	Bratislava	Innenstadt	108631	108702	71	Business	ECSM	Auftraggeber End of Year Event	20.12.2011	2		
2	20.12.2011	Bratislava	Innenstadt	Dlha nad Vahom	Dlha nad Vahom	108702	108771	69	Business	ECSM	Auftraggeber End of Year Event	20.12.2011	2		
3	28.12.2011	Dlha nad Vahom	Dlha nad Vahom	Oberursel	Tannenweg	108771	109728	957	Rückfahrt	Rückfahrt	Rückfahrt	28.12.2011	3		
4	29.12.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	109728	109752	24	Business	ECSM Kunde	Deutsche Bank Projekt	29.12.2011	4		
4	29.12.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	109752	109776	24	Rückfahrt	Rückfahrt	Rückfahrt	29.12.2011	4		
5	30.12.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	109776	109800	24	Business	ECSM Kunde	Deutsche Bank Projekt	30.12.2011	5		
5	30.12.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	109800	109824	24	Rückfahrt	Rückfahrt	Rückfahrt	30.12.2011	5		
